# Signatures of the rmw implementation contract — ROS 2 Humble.
# name<TAB>return<TAB>params<TAB>header. Parameter NAMES ARE KEPT;
# the COMPARISON drops them (`rmw_abi_shape.strip_param_names`),
# because a renamed argument is not an ABI difference and reporting
# one trains people to skim — while a page that shows our named
# slots beside upstream's bare types reads as though upstream
# declared them nameless. Regenerate in the distrobox:
#   scripts/rmw-api-inventory.py --signatures \
#     > docs/reference/rmw-implementation-signatures.txt
# format: 2 (parameter names kept; strip them to compare)
rmw_allocate	void *	size_t size	allocators.h
rmw_get_subscriptions_info_by_topic	rmw_ret_t	const rmw_node_t * node, rcutils_allocator_t * allocator, const char * topic_name, bool no_mangle, rmw_topic_endpoint_info_array_t * subscriptions_info	get_topic_endpoint_info.h
rmw_get_topic_names_and_types	rmw_ret_t	const rmw_node_t * node, rcutils_allocator_t * allocator, bool no_demangle, rmw_names_and_types_t * topic_names_and_types	get_topic_names_and_types.h
rmw_get_zero_initialized_content_filter_options	rmw_subscription_content_filter_options_t		subscription_content_filter_options.h
rmw_get_zero_initialized_context	rmw_context_t		init.h
rmw_get_zero_initialized_event	rmw_event_t		event.h
rmw_get_zero_initialized_init_options	rmw_init_options_t		init_options.h
rmw_get_zero_initialized_message_info	rmw_message_info_t		types.h
rmw_get_zero_initialized_message_info_sequence	rmw_message_info_sequence_t		message_sequence.h
rmw_get_zero_initialized_message_sequence	rmw_message_sequence_t		message_sequence.h
rmw_get_zero_initialized_names_and_types	rmw_names_and_types_t		names_and_types.h
rmw_get_zero_initialized_network_flow_endpoint	rmw_network_flow_endpoint_t		network_flow_endpoint.h
rmw_get_zero_initialized_network_flow_endpoint_array	rmw_network_flow_endpoint_array_t		network_flow_endpoint_array.h
rmw_get_zero_initialized_security_options	rmw_security_options_t		security_options.h
rmw_get_zero_initialized_topic_endpoint_info	rmw_topic_endpoint_info_t		topic_endpoint_info.h
rmw_get_zero_initialized_topic_endpoint_info_array	rmw_topic_endpoint_info_array_t		topic_endpoint_info_array.h
rmw_guard_condition_allocate	rmw_guard_condition_t *		allocators.h
rmw_guard_condition_free	void	rmw_guard_condition_t * guard_condition	allocators.h
rmw_init	rmw_ret_t	const rmw_init_options_t * options, rmw_context_t * context	init.h
rmw_init_options_copy	rmw_ret_t	const rmw_init_options_t * src, rmw_init_options_t * dst	init_options.h
rmw_init_options_fini	rmw_ret_t	rmw_init_options_t * init_options	init_options.h
rmw_init_options_init	rmw_ret_t	rmw_init_options_t * init_options, rcutils_allocator_t allocator	init_options.h
rmw_init_publisher_allocation	rmw_ret_t	const rosidl_message_type_support_t * type_support, const rosidl_runtime_c__Sequence__bound * message_bounds, rmw_publisher_allocation_t * allocation	rmw.h
rmw_init_subscription_allocation	rmw_ret_t	const rosidl_message_type_support_t * type_support, const rosidl_runtime_c__Sequence__bound * message_bounds, rmw_subscription_allocation_t * allocation	rmw.h
rmw_message_info_sequence_fini	rmw_ret_t	rmw_message_info_sequence_t * sequence	message_sequence.h
